id,Virulence_function,Associated_pathotypes
Vir0100_aec26_1,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0101_aec11_1,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0102_APECO_1,Hypothetical Protein,APEC
Vir0103_aec29_1,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0104_iucB_1,Siderophore: Aerobactin,UPEC|APEC
Vir0105_espL2_2,Toxin: Enterotoxin,EHEC
Vir0106_cah_1,Autotransporter: calcium-binding and heat-extractable autotransporter protein,EHEC|ETEC|NMEC|UPEC|AIEC|EPEC|StxEAEC
Vir0107_aec32_1,Secretion system: Type VI: Hypothetical Protein,EPEC
Vir0108_mpc_2,NA,EPEC
Vir0109_papI_2,Adhesion: P Fimbriae,ExPEC
Vir0110_ibeC_2,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir0111_ECS88_1,Secretion system: SCI-I T6SS,NMEC
Vir0112_fimA_1,Adhesion: Type I Fimbriae,ExPEC
Vir0114_ECs45_1,Hypothetical Protein,EHEC
Vir0115_air-e_1,Invasion,EAEC|NMEC|UPEC
Vir0116_ybtS_2,Siderophore: Yersiniabactin,ExPEC
Vir0117_icmF_1,Hypothetical Protein,StxEAEC
Vir0118_ybtP_2,Siderophore: Yersiniabactin,ExPEC
Vir0119_ler_1,Hypothetical Protein,EHEC
Vir0120_hlyD_1,Toxin: Alpha-Hemolysin,UPEC
Vir0121_ECS88_7,Secretion system: SCI-I T6SS,NMEC
Vir0122_chuU_1,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0123_hlyE_1,Toxin: Hemolysin/cytolysin A,ExPEC
Vir0124_upaG_2,Invasion,UPEC
Vir0125_irp2_3,Siderophore: Yersiniabactin,ExPEC
Vir0126_nleB1_2,Secretion system: Type III,EHEC
Vir0127_papB_1,Adhesion: P Fimbriae,ExPEC
Vir0128_aatP_1,NA,StxEAEC
Vir0129_aatA_1,NA,EAEC
Vir0130_fimC_1,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir0131_espM2_1,Secretion system: Type III,EHEC
Vir0132_aec25_2,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0133_nleA_2,Secretion system: Type III,EHEC
Vir0134_fimG_2,Adhesion: Type I Fimbriae,ExPEC
Vir0136_escV_1,Hypothetical Protein,EHEC
Vir0137_ecpC_3,Adhesion: E.coli common pilus,UPEC
Vir0138_papE_1,Adhesion: P Fimbriae,ExPEC
Vir0139_aatP_2,NA,ETEC
Vir0140_papC_1,Adhesion: P Fimbriae,ExPEC
Vir0141_eaeH_3,Adhesion,AIEC
Vir0142_chuT_3,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0143_escV_2,NA,EHEC
Vir0144_NRG85_2,Hypothetical Protein,AIEC
Vir0145_aaiM_1,Hypothetical Protein,StxEAEC
Vir0147_papI_3,Adhesion: P Fimbriae,ExPEC
Vir0148_fimC_2,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir0149_aec8_2,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0150_aec27_3,Secretion system: Type VI,EHEC
Vir0151_ECO55_9,Hypothetical Protein,EPEC
Vir0152_aec8_3,Secretion system: Type VI: Hypothetical Protein,EAEC
Vir0153_nleB1_3,Secretion system: Type III,EHEC
Vir0154_fimH_3,Adhesion: Type I Fimbriae,ExPEC
Vir0155_sitA_2,Iron: Transport,ExPEC
Vir0156_ehaA_1,Autotransporter: adhesion/biofilm formation,EHEC
Vir0157_aec22_1,Secretion system: Type VI: Hypothetical Protein,EPEC
Vir0158_ibeB_2,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir0159_glrA_1,Hypothetical Protein,EPEC
Vir0160_ecpR_1,Adhesion: E.coli common pilus,ETEC
Vir0161_ECS88_11,Secretion system: SCI-I T6SS,NMEC
Vir0162_espD_1,NA,EPEC
Vir0163_aec29_2,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir0164_sepZ_1,NA,EHEC
Vir0165_LF82_1,Secretion system: SCI-I T6SS,AIEC
Vir0166_ybtT_2,Siderophore: Yersiniabactin,ExPEC
Vir0167_ecpC_4,Adhesion: E.coli common pilus,UPEC
Vir0168_nleF_1,Hypothetical Protein,EPEC
Vir0169_ibeC_3,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir0170_ybtX_1,Siderophore: Yersiniabactin,ExPEC
Vir0171_hlyC_2,Toxin: Alpha-Hemolysin,UPEC
Vir0172_nleG2_1,Hypothetical Protein,EHEC
Vir0173_ybtS_3,Siderophore: Yersiniabactin,ExPEC
Vir0174_aec26_2,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0176_ehaB_1,Autotransporter: adhesion/biofilm formation,EPEC
Vir0177_papE_2,Adhesion: P Fimbriae,ExPEC
Vir0178_ECO55_5,Secretion system: Type III,EPEC
Vir0180_ecpE_3,Adhesion: E.coli common pilus,EHEC
Vir0181_ibeC_4,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir0182_escV_3,NA,EPEC
Vir0183_ecpR_2,Adhesion: E.coli common pilus,UPEC
Vir0184_aec17_1,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0185_aec23_3,Secretion system: Type VI: Hypothetical Protein,APEC
Vir0186_ybtQ_1,Siderophore: Yersiniabactin,ExPEC
Vir0187_sitB_1,Iron: Transport,ExPEC
Vir0188_espL4_1,Secretion system: Type III (ShET2/EspL2 family effector toxin,EPEC|EHEC
Vir0190_nleC_1,Secretion system: Type III,EHEC
Vir0191_ehaB_2,Autotransporter: adhesion/biofilm formation,StxEAEC
Vir0192_aec29_3,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0193_aaiF_1,Hypothetical Protein,StxEAEC
Vir0194_escR_1,Secretion system: Type III,EHEC
Vir0195_ybtA_1,Siderophore: Yersiniabactin,ExPEC
Vir0196_ecpC_5,Adhesion: E.coli common pilus,UPEC
Vir0197_toxB_1,Toxin,EHEC
Vir0198_aec25_3,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir0199_aec14_1,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0200_aec31_1,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0201_ehaB_3,Autotransporter: adhesion/biofilm formation,EHEC
Vir0202_aec18_2,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0203_papJ_1,Adhesion: P Fimbriae,ExPEC
Vir0204_sitB_2,Iron: Transport,ExPEC
Vir0205_ecpB_2,Adhesion: E.coli common pilus,EHEC
Vir0206_nleG5_1,Hypothetical Protein,EHEC
Vir0207_ecpC_6,Adhesion: E.coli common pilus,UPEC
Vir0208_aec24_1,Secretion system: Type VI,NMEC
Vir0209_ecpE_4,Adhesion: E.coli common pilus,EHEC
Vir0210_ECS88_15,Secretion system: SCI-I T6SS,NMEC
Vir0211_aec7_1,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir0212_aec28_1,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0213_fimF_3,Adhesion: Type I Fimbriae,ExPEC
Vir0214_sfaS_1,Adhesion: S Fimbriae,ExPEC
Vir0216_papX_1,Adhesion: P Fimbriae,ExPEC
Vir0217_papC_2,Adhesion: P Fimbriae,ExPEC
Vir0218_nleH1_1,Secretion system: Type III,EPEC
Vir0219_ybtA_2,Siderophore: Yersiniabactin,ExPEC
Vir0220_ybtE_1,Siderophore: Yersiniabactin,ExPEC
Vir0221_chuY_3,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0222_nleB2_1,NA,EPEC
Vir0223_chuS_2,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0224_ecpC_7,Adhesion: E.coli common pilus,EHEC
Vir0226_chuY_4,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0227_agg3A_1,Hypothetical Protein,StxEAEC
Vir0228_papX_2,Adhesion: P Fimbriae,ExPEC
Vir0229_agn43_1,Autotransporter,UPEC
Vir0230_sepL_2,NA,EPEC
Vir0231_iucD_1,Siderophore: Aerobactin,UPEC|APEC
Vir0233_upaG_3,Adhesion,UPEC
Vir0234_clpV_1,Hypothetical Protein,StxEAEC
Vir0235_nleG2_2,Hypothetical Protein,EHEC
Vir0236_ECO10_1,Secretion system: Type III,EHEC
Vir0237_fimD_2,Adhesion: Type I Fimbriae,ExPEC
Vir0239_c3393_1,Hypothetical Protein,UPEC
Vir0240_escJ_2,NA,EHEC
Vir0241_nleG7_2,Secretion system: Type III,EHEC
Vir0242_cfaC_1,Adhesion: CFA/I Fimbriae,ETEC
Vir0243_fyuA_2,Siderophore: Yersiniabactin,ExPEC
Vir0244_ecpB_3,Adhesion: E.coli common pilus,EPEC
Vir0245_eae_2,Adhesion: Intimin,"EPEC,EHEC"
Vir0246_fimA_2,Adhesion: Type I Fimbriae,ExPEC
Vir0247_irp2_4,Siderophore: Yersiniabactin,ExPEC
Vir0248_escT_1,Secretion system: Type III,EHEC
Vir0249_O3O_2_1,Hypothetical Protein,StxEAEC
Vir0250_cfaD_1,Adhesion: CFA/I Fimbriae,APEC
Vir0252_UM146_1,Hypothetical Protein,AIEC
Vir0253_chuT_4,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0254_papF_1,Adhesion: P Fimbriae,ExPEC
Vir0255_paa_2,NA,EPEC
Vir0256_nleG_1,Hypothetical Protein,EHEC
Vir0257_hlyC_3,Toxin: Alpha-Hemolysin,EHEC
Vir0258_ehaB_4,Autotransporter: adhesion/biofilm formation,EHEC
Vir0259_nleH1_2,Hypothetical Protein,EHEC
Vir0260_agn43_2,Autotransporter,EAEC
Vir0261_chuT_5,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0262_ybtE_2,Siderophore: Yersiniabactin,ExPEC
Vir0263_eaeH_4,NA,ETEC
Vir0264_ybtU_2,Siderophore: Yersiniabactin,ExPEC
Vir0266_fimI_1,Adhesion: Type I Fimbriae,EPEC
Vir0268_ybtU_3,Siderophore: Yersiniabactin,ExPEC
Vir0269_aec31_2,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0270_APECO_4,NA,APEC
Vir0271_aec31_3,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0272_sitD_1,Iron: Transport,ExPEC
Vir0273_hlyE_2,Toxin: Hemolysin/cytolysin A,ExPEC
Vir0274_cfaB_1,Adhesion: CFA/I Fimbriae,StxEAEC
Vir0275_chuT_6,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0276_chuY_5,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0277_agg3D_1,NA,StxEAEC
Vir0278_ibeC_5,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir0279_escT_2,Secretion system: Type III,EHEC
Vir0280_aec23_4,Secretion system: Type VI,StxEAEC
Vir0281_sepL_3,NA,EHEC
Vir0282_aec24_2,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir0283_cesD_1,NA,EHEC
Vir0284_EC042_3,Hypothetical Protein,EAEC
Vir0285_fimH_4,Adhesion: Type I Fimbriae,ExPEC
Vir0286_ybtP_3,Siderophore: Yersiniabactin,ExPEC
Vir0287_escS_2,NA,EHEC
Vir0288_sepQ_2,NA,EHEC
Vir0289_aaiE_1,Hypothetical Protein,StxEAEC
Vir0290_fimA_3,Adhesion: Type I Fimbriae,ExPEC
Vir0291_nleG8_1,Secretion system: Type III,EHEC
Vir0292_espL1_1,Secretion system: Type III,EPEC|EHEC
Vir0293_chuA_1,Iron: E.coli hemin uptake,EHEC
Vir0294_espF_1,NA,EHEC
Vir0296_espX4_1,Hypothetical Protein,EHEC|EPEC
Vir0297_fimE_2,Adhesion: Type I Fimbriae,ExPEC
Vir0299_irp2_5,Siderophore: Yersiniabactin,ExPEC
Vir0300_ECH74_1,Hypothetical Protein,EHEC
Vir0301_aec28_2,Secretion system: Type VI: Hypothetical Protein,StxEAEC
Vir0302_i02_3_2,Hypothetical Protein,UPEC
Vir0303_vat_2,Vacuolating autotransporter toxin: plasmid,ExPEC
Vir0304_fimC_3,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir0305_fimD_3,Adhesion: Type I Fimbriae,ExPEC
Vir0306_fimF_4,Adhesion: Type I Fimbriae,ExPEC
Vir0307_cesF_1,Hypothetical Protein,EHEC
Vir0308_fimF_5,Adhesion: Type I Fimbriae,ExPEC
Vir0309_sitB_3,Iron: Transport,ExPEC
Vir0310_iucC_2,Siderophore: Aerobactin,UPEC|APEC
Vir0311_ecpE_5,Adhesion: E.coli common pilus,K12
Vir0312_fimH_5,Adhesion: Type I Fimbriae,ExPEC
Vir0313_ecpB_4,Adhesion: E.coli common pilus,ETEC
Vir0315_espD_2,NA,EHEC
Vir0316_espB_2,NA,EHEC
Vir0317_aec31_4,Secretion system: Type VI,ETEC
Vir0318_focD_1,Adhesion: Fimbriae,UPEC
Vir0319_sitD_2,Iron: Transport,ExPEC
Vir0320_aec15_3,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0321_fyuA_3,Siderophore: Yersiniabactin,ExPEC
Vir0322_espM2_2,NA,EPEC
Vir0323_agg3B_1,Invasion,StxEAEC
Vir0324_espL1_2,Hypothetical Protein,EPEC|EHEC
Vir0325_cah_2,Adhesion,EHEC|ETEC|NMEC|UPEC|AIEC|EPEC|StxEAEC
Vir0327_aec26_3,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0328_ibeB_3,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir0330_pet_1,Toxin,StxEAEC
Vir0331_aec30_1,Secretion system: Type VI,EAEC
Vir0332_aaiJ_1,Hypothetical Protein,StxEAEC
Vir0333_espY4_2,Hypothetical Protein,EHEC
Vir0334_ybtA_3,Siderophore: Yersiniabactin,ExPEC
Vir0335_fimD_4,Adhesion: Type I Fimbriae,ExPEC
Vir0337_papD_1,Adhesion: P Fimbriae,ExPEC
Vir0338_iroN_2,Siderophore: Salmochelin,ExPEC
Vir0339_ireA_1,Iron,ExPEC
Vir0340_iroE_1,Siderophore: Salmochelin,ExPEC
Vir0341_iutA_1,Siderophore: Aerobactin,ExPEC
Vir0342_cfaD_2,Adhesion: CFA/I Fimbriae,UPEC
Vir0343_hlyD_2,Toxin: Alpha-Hemolysin,UPEC
Vir0345_aec27_4,Secretion system: Type VI,EHEC
Vir0346_aaiI_1,Secretion system: Type VI,EAEC
Vir0347_espX2_1,Hypothetical Protein,EHEC
Vir0349_ECP_2_1,Secretion system: SCI-I T6SS,UPEC
Vir0350_sfaE_1,Adhesion: S Fimbriae,ExPEC
Vir0351_eaeH_5,Adhesion,EAEC
Vir0355_fimG_3,Adhesion: Type I Fimbriae,ExPEC
Vir0356_espK_1,Secretion system: Type III,EHEC
Vir0357_aec15_4,Secretion system: Type VI,AIEC
Vir0358_espJ_1,Secretion system: Type III,EHEC
Vir0359_ecpR_3,Adhesion: E.coli common pilus,APEC
Vir0360_escD_1,Secretion system: Type III,EHEC
Vir0361_aec32_2,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0362_map_1,Secretion system: Type III,EHEC
Vir0363_fimA_4,Adhesion: Type I Fimbriae,ExPEC
Vir0364_ECO55_8,Secretion system: Type VI,EPEC
Vir0365_espN_1,Secretion system: Type III,EHEC
Vir0366_espX6_2,Hypothetical Protein,EHEC
Vir0367_fimC_4,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir0368_ECO10_2,Hypothetical Protein,EHEC
Vir0369_tia_1,Adhesion/Invasion,APEC
Vir0370_cfaA_2,Adhesion: CFA/I Fimbriae,StxEAEC
Vir0371_ybtT_3,Siderophore: Yersiniabactin,ExPEC
Vir0372_ecpB_5,Adhesion: E.coli common pilus,EAEC
Vir0373_escU_1,NA,EHEC
Vir0374_fimI_2,Adhesion: Type I Fimbriae,EHEC
Vir0375_NRG85_3,Hypothetical Protein,AIEC
Vir0376_aec22_2,Secretion system: Type VI: Hypothetical Protein,StxEAEC
Vir0377_cesT_1,NA,EPEC
Vir0378_stx2A_2,Toxin: Shiga,EHEC
Vir0379_fimI_3,Adhesion: Type I Fimbriae,EAEC
Vir0380_ECS88_2,Secretion system: SCI-I T6SS,NMEC
Vir0384_chuY_6,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0385_espO1_2,Secretion system: Type III,EHEC
Vir0386_chuX_1,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0387_hlyC_4,Toxin: Alpha-Hemolysin,AIEC
Vir0388_nleG6_1,Secretion system: Type III,EHEC
Vir0390_EC559_1,Hypothetical Protein,EAEC
Vir0391_fimI_4,Adhesion: Type I Fimbriae,UPEC
Vir0392_papF_2,Adhesion: P Fimbriae,ExPEC
Vir0393_espFu_1,NA,EHEC
Vir0394_usp_1,Toxin: Colicin-like Usp,UPEC
Vir0395_ecpB_6,Adhesion: E.coli common pilus,UPEC
Vir0396_NRG85_4,Hemolysin,AIEC
Vir0397_aec27_5,Secretion system: Type VI,StxEAEC
Vir0398_aec14_2,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0399_escD_2,NA,EPEC
Vir0400_espB_3,NA,EPEC
Vir0401_chuX_2,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0402_ecpR_4,Adhesion: E.coli common pilus,EHEC
Vir0403_EC559_2,Hypothetical Protein,EAEC
Vir0404_espX7_2,Hypothetical Protein,EHEC
Vir0405_aec18_3,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir0407_chuA_2,Iron: E.coli hemin uptake,EHEC
Vir0408_irp2_6,Siderophore: Yersiniabactin,ExPEC
Vir0409_fyuA_4,Siderophore: Yersiniabactin,ExPEC
Vir0410_stx2A_3,Toxin: Shiga,EHEC
Vir0411_ecpC_8,Adhesion: E.coli common pilus,StxEAEC
Vir0412_ecpE_6,Adhesion: E.coli common pilus,NMEC
Vir0413_hlyA_1,Toxin: Alpha-Hemolysin,ExPEC
Vir0414_ECO10_3,NA,EHEC
Vir0416_aec28_3,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0417_focA_1,Adhesion: Fimbriae,UPEC
Vir0418_aec31_5,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0420_aec18_4,Secretion system: Type VI,EAEC
Vir0421_O3O_2_2,Helicase,StxEAEC
Vir0422_ybtP_4,Siderophore: Yersiniabactin,ExPEC
Vir0423_ecpD_2,Adhesion: E.coli common pilus,StxEAEC
Vir0424_LF82_2,Secretion system: SCI-I T6SS,AIEC
Vir0425_escC_2,Secretion system: Type III,EPEC
Vir0426_aec32_3,Secretion system: Type VI: Hypothetical Protein,StxEAEC
Vir0429_EC042_4,Secretion system: Type VI,EAEC
Vir0430_ibeC_6,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir0431_ECs45_2,Hypothetical Protein,EHEC
Vir0432_EC042_5,Secretion system: Type VI,EAEC
Vir0433_sfaF_1,Adhesion: S Fimbriae,ExPEC
Vir0435_aec26_4,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir0436_ECO10_4,Hypothetical Protein,EHEC
Vir0437_fimF_6,Adhesion: Type I Fimbriae,ExPEC
Vir0440_espR1_1,Hypothetical Protein,EHEC
Vir0441_eaeH_6,Adhesion,AIEC
Vir0442_ECS88_3,Secretion system: SCI-I T6SS,NMEC
Vir0444_upaG_4,Hypothetical Protein,EHEC
Vir0445_focG_1,Adhesion: Fimbriae,ExPEC
Vir0446_escU_2,NA,EPEC
Vir0447_fimE_3,Adhesion: Type I Fimbriae,ExPEC
Vir0448_aec17_2,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0449_map_2,NA,EPEC
Vir0450_papE_3,Adhesion: P Fimbriae,ExPEC
Vir0451_iroC_1,Siderophore: Salmochelin,ExPEC
Vir0452_espL2_3,NA,EPEC
Vir0453_glrR_1,Hypothetical Protein,EHEC
Vir0454_papI_4,Adhesion: P Fimbriae,ExPEC
Vir0455_aec17_3,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir0456_ecpR_5,Adhesion: E.coli common pilus,StxEAEC
Vir0457_map_3,Hypothetical Protein,EHEC
Vir0458_aaiC_1,Hypothetical Protein,StxEAEC
Vir0459_ECNA1_3,Hypothetical Protein,UPEC
Vir0460_upaG_5,Adhesion,EHEC
Vir0461_nleG5_2,Hypothetical Protein,EPEC
Vir0462_aec16_1,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir0465_escF_1,NA,EHEC
Vir0466_nleH1_3,Secretion system: Type III,EHEC
Vir0467_aap_1,NA,EAEC
Vir0469_hlyE_3,Toxin: Hemolysin/cytolysin A,ExPEC
Vir0471_nleA_3,NA,EHEC
Vir0475_chuA_3,Iron: E.coli hemin uptake,EHEC
Vir0476_vat_3,Vacuolating autotransporter toxin,ExPEC
Vir0477_espX5_1,Hypothetical Protein,EHEC
Vir0479_fimI_5,Adhesion: Type I Fimbriae,UPEC
Vir0480_APECO_2,Hypothetical Protein,APEC
Vir0481_ibeC_7,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir0482_espL2_4,Secretion system: Type III,EPEC
Vir0484_aec30_2,Secretion system: Type VI,EHEC
Vir0485_ECOK1_1,NA,NMEC
