type,gene,db_xref,start,end,Length,strand,product
CDS,kefC,GI:378698067,98781,100643,1864,1,glutathione-regulated potassium-efflux system protein KefC
CDS,folA,GI:378698068,100842,101321,481,1,dihydrofolate reductase type I
CDS,apaH,GI:378698069,101427,102275,850,-1,bis(5'-nucleosyl)-tetraphosphatase
CDS,apaG,GI:378698070,102286,102663,379,-1,CorD protein
CDS,ksgA,GI:378698071,102666,103487,823,-1,dimethyladenosine transferase
CDS,pdxA,GI:378698072,103484,104473,991,-1,pyridoxal phosphate biosynthetic protein PdxA
CDS,surA,GI:378698073,104473,105759,1288,-1,survival protein SurA
CDS,imp,GI:378698074,105813,108173,2362,-1,organic solvent tolerance protein
CDS,djlA,GI:378698075,108427,109239,814,1,DnaJ-like protein
CDS,rluA,GI:378698076,109334,109993,661,-1,ribosomal large subunit pseudouridine synthase A
CDS,hepA,GI:378698077,110005,112911,2908,-1,ATP-dependent helicase HepA
CDS,polB,GI:378698078,113085,115436,2353,-1,DNA polymerase II
CDS,none,GI:378698079,115480,116100,622,-1,secreted protein
CDS,none,GI:378698080,116819,117238,421,1,hypothetical protein
CDS,araD,GI:378698081,117244,117939,697,-1,L-ribulose-5-phosphate 4-epimerase
CDS,araA,GI:378698082,118080,119582,1504,-1,L-arabinose isomerase
CDS,araB,GI:378698083,119593,121302,1711,-1,ribulokinase
CDS,araC,GI:378698084,121643,122488,847,1,arabinose operon regulatory protein
CDS,yabI,GI:378698085,122607,123374,769,1,DedA family integral membrane protein
CDS,yabJ,GI:378698086,123413,124120,709,-1,ABC transporter
CDS,yabK,GI:378698087,124104,125714,1612,-1,putative ABC transporter integral membrane protein
CDS,tbpA,GI:378698088,125690,126673,985,-1,thiamine-binding periplasmic protein
CDS,yabN,GI:378698089,126851,128509,1660,-1,putative ABC transporter periplasmic solute binding protein
CDS,leuD,GI:378698090,129060,129665,607,-1,3-isopropylmalate dehydratase small subunit
CDS,leuC,GI:378698091,129676,131076,1402,-1,3-isopropylmalate dehydratase large subunit
CDS,leuB,GI:378698092,131079,132170,1093,-1,3-isopropylmalate dehydrogenase
CDS,leuA,GI:378698093,132170,133741,1573,-1,2-isopropylmalate synthase
CDS,leuL,GI:378698094,133829,133915,88,-1,leu operon leader peptide
CDS,leuO,GI:378698095,134572,135516,946,1,activator protein in leuABCD operon
CDS,ilvI,GI:378698096,135901,137562,1663,1,acetolactate synthase isozyme III large subunit
CDS,ilvH,GI:378698097,137565,138056,493,1,acetolactate synthase isozyme III small subunit
CDS,fruR,GI:378698098,138340,139344,1006,1,fructose repressor
CDS,mraZ,GI:378698099,139950,140408,460,1,hypothetical protein
CDS,mraW,GI:378698100,140410,141351,943,1,S-adenosyl-methyltransferase
CDS,ftsL,GI:378698101,141348,141713,367,1,cell division protein FtsL
CDS,ftsI,GI:378698102,141729,143495,1768,1,penicillin-binding protein 3
CDS,murE,GI:378698103,143482,144969,1489,1,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase"
CDS,murF,GI:378698104,144966,146324,1360,1,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diami nopimelate--D-alan alanyl ligase"
CDS,mraY,GI:378698105,146318,147400,1084,1,phospho-N-acetylmuramoyl-pentapeptide- transferase
CDS,murD,GI:378698106,147403,148719,1318,1,UDP-N-acetylmuramoylalanine--D-glutamate ligase
CDS,ftsW,GI:378698107,148806,149963,1159,1,cell division protein FtsW
CDS,murG,GI:378698108,149960,151027,1069,1,UDP-N-acetylglucosamine-N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N- acetylglucosamine transferase
CDS,murC,GI:378698109,151146,152621,1477,1,UDP-N-acetylmuramate--L-alanine ligase
CDS,ddl,GI:378698110,152614,153534,922,1,D-alanine--D-alanine ligase
CDS,ftsQ,GI:378698111,153536,154366,832,1,cell division protein FtsQ
CDS,ftsA,GI:378698112,154363,155625,1264,1,cell division protein FtsA
CDS,ftsZ,GI:378698113,155686,156837,1153,1,cell division protein FtsZ
CDS,lpxC,GI:378698114,156938,157855,919,1,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
CDS,none,GI:378698115,158203,158631,430,1,hypothetical protein
CDS,secA,GI:378698116,158693,161398,2707,1,preprotein translocase subunit SecA
CDS,mutT,GI:378698117,161550,161945,397,1,"7,8-dihydro-8-oxoguanine-triphosphatase"
CDS,none,GI:378698118,162267,162458,193,-1,hypothetical protein
CDS,none,GI:378698119,162468,163211,745,-1,hypothetical protein
CDS,coaE,GI:378698120,163211,163831,622,-1,dephospho-CoA kinase
CDS,guaC,GI:378698121,164057,165100,1045,1,GMP reductase
CDS,hofC,GI:378698122,165131,166333,1204,-1,protein transport protein HofC
CDS,hofB,GI:378698123,166323,167708,1387,-1,protein transport protein HofB
CDS,ppdD,GI:378698124,167718,168155,439,-1,prepilin peptidase dependent protein D
CDS,nadC,GI:378698125,168377,169123,748,-1,nicotinate-nucleotide pyrophosphorylase
CDS,ampD,GI:378698126,169358,169921,565,1,AmpD protein (anhydro-N-acetylmuramyl-tripeptide amidase)
CDS,ampE,GI:378698127,169918,170772,856,1,AmpE protein
CDS,none,GI:378698128,170864,171814,952,-1,glycosyl hydrolase
CDS,none,GI:378698129,171814,173220,1408,-1,putative symporter
CDS,aroP,GI:378698130,173384,174757,1375,-1,aromatic amino acid transport protein AroP
CDS,pdhR,GI:378698131,175320,176084,766,1,pyruvate dehydrogenase complex repressor
CDS,aceE,GI:378698132,176244,178907,2665,1,pyruvate dehydrogenase E1 component
CDS,aceF,GI:378698133,178922,180811,1891,1,dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase
CDS,lpdA,GI:378698134,181011,182435,1426,1,dihydrolipoamide dehydrogenase
CDS,none,GI:378698135,182724,183008,286,1,secreted protein
CDS,none,GI:378698136,183046,183837,793,-1,secreted protein
CDS,acnB,GI:378698137,185853,188450,2599,1,aconitate hydratase 2
CDS,none,GI:378698138,188511,189353,844,-1,HNH endonuclease
CDS,none,GI:378698139,189599,189961,364,1,hypothetical protein
CDS,kdgT,GI:378698140,190196,191149,955,1,2-keto-3-deoxygluconate permease
CDS,none,GI:378698141,191146,192417,1273,1,hypothetical protein
CDS,pdxA,GI:378698142,192407,193390,985,1,4-hydroxythreonine-4-phosphate dehydrogenase
CDS,none,GI:378698143,193400,194167,769,1,putative transcriptional regulator
CDS,speD,GI:378698144,194197,194991,796,-1,"S-adenosylmethionine decarboxylase, proenzyme"
CDS,speE,GI:378698145,195012,195872,862,-1,spermidine synthase
CDS,none,GI:378698146,195979,196326,349,-1,hypothetical protein
CDS,yacK,GI:378698147,196528,198138,1612,1,multicopper oxidase
CDS,gcd,GI:378698148,198216,200606,2392,-1,glucose dehydrogenase
CDS,hpt,GI:378698149,200812,201348,538,1,hypoxanthine phosphoribosyltransferase
CDS,yadF,GI:378698150,201406,202068,664,-1,carbonic anhydrase
CDS,yadG,GI:378698151,202177,203103,928,1,ABC transporter ATP-binding protein
CDS,yadH,GI:378698152,203100,203870,772,1,ABC transporter
CDS,stiH,GI:378698153,203987,205066,1081,-1,fimbrial protein
CDS,stiC,GI:378698154,205075,207621,2548,-1,fimbrial usher protein
CDS,stiB,GI:378698155,207648,208331,685,-1,fimbrial usher protein
CDS,stiA,GI:378698156,208379,208918,541,-1,fimbrial subunit
CDS,yadI,GI:378698157,209289,209729,442,1,putative PTS system IIA component
CDS,none,GI:378698158,209791,211020,1231,1,hypothetical protein
CDS,panD,GI:378698159,211027,211407,382,-1,aspartate 1-decarboxylase
CDS,panC,GI:378698160,211502,212356,856,-1,Pantoate--beta-alanine ligase
CDS,panB,GI:378698161,212482,213273,793,-1,3-methyl-2-oxobutanoate hydroxymethyltransferase
CDS,folK,GI:378698162,213394,213873,481,-1,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase
CDS,pcnB,GI:378698163,213870,215288,1420,-1,poly(A) polymerase
CDS,yadB,GI:378698164,215429,216370,943,-1,glutamyl-tRNA synthetase
CDS,dksA,GI:378698165,216394,216849,457,-1,dosage-dependent dnaK suppressor protein
CDS,sfsA,GI:378698166,217026,217730,706,-1,sugar fermentation stimulation protein
CDS,ligT,GI:378698167,217747,218277,532,-1,2'-5' RNA ligase
CDS,hrpB,GI:378698168,218305,220779,2476,1,ATP-dependent helicase HrpB
CDS,mrcB,GI:378698169,220920,223442,2524,1,penicillin-binding protein 1b; peptidoglycan synthetase
CDS,fhuA,GI:378698170,223735,225924,2191,1,ferrichrome-iron receptor
CDS,fhuC,GI:378698171,225973,226770,799,1,ferrichrome transport ATP-binding protein FhuC
CDS,fhuD,GI:378698172,226770,227660,892,1,ferrichrome-binding periplasmic protein
CDS,fhuB,GI:378698173,227657,229714,2059,1,ferrichrome transport protein FhuB
CDS,stfA,GI:378698174,230653,231213,562,1,major fimbrial subunit stfa (putative fimbrial subunit)
CDS,stfC,GI:378698175,231299,233956,2659,1,outer membrane usher protein stfc (putative fimbrial outer membrane usher)
CDS,stfD,GI:378698176,233974,234726,754,1,periplasmic fimbrial chaperone stfd
CDS,stfE,GI:378698177,234790,235257,469,1,minor fimbrial subunit StfE
CDS,stfF,GI:378698178,235254,235730,478,1,minor fimbrial subunit stff
CDS,stfG,GI:378698179,235730,236260,532,1,putative minor fimbrial subunit
CDS,none,GI:378698180,236260,237099,841,1,hypothetical protein
CDS,hemL,GI:378698181,237207,238487,1282,-1,"glutamate-1-semialdehyde 2,1-aminomutase"
CDS,clcA,GI:378698182,238657,240078,1423,1,hypothetical protein
CDS,none,GI:378698183,240160,240504,346,1,hypothetical protein
CDS,yadS,GI:378698184,240605,241228,625,-1,hypothetical protein
CDS,btuF,GI:378698185,241265,242065,802,-1,Vitamin B12 transport protein btuF
CDS,mtn,GI:378698186,242058,242756,700,-1,MTA/SAH nucleosidase
CDS,dgt,GI:378698187,242841,244358,1519,1,deoxyguanosinetriphosphate triphosphohydrolase
CDS,htrA,GI:378698188,244488,245915,1429,1,protease DO precursor; heat shock protein HtrA
CDS,none,GI:378698189,246068,247225,1159,1,hypothetical protein
CDS,none,GI:378698190,247314,247700,388,-1,hypothetical protein
CDS,none,GI:378698191,247947,249248,1303,1,putative inner membrane protein
CDS,dapD,GI:378698192,249285,250109,826,-1,"2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase"
CDS,glnD,GI:378698193,250139,252811,2674,-1,[protein-PII] uridylyltransferase
CDS,map,GI:378698194,253048,253842,796,-1,methionine aminopeptidase
CDS,rpsB,GI:378698195,254293,255018,727,1,30S ribosomal protein S2
CDS,tsf,GI:378698196,255276,256127,853,1,elongation factor Ts
CDS,pyrH,GI:378698197,256272,256997,727,1,uridylate kinase
CDS,frr,GI:378698198,257144,257701,559,1,Ribosome recycling factor
CDS,dxr,GI:378698199,257842,259038,1198,1,1-deoxy-D-xylulose 5-phosphate reductoisomerase
CDS,none,GI:378698200,259351,260109,760,1,undecaprenyl pyrophosphate synthetase
CDS,cdsA,GI:378698201,260122,260979,859,1,phosphatidate cytidylyltransferase
CDS,yaeL,GI:378698202,260991,262343,1354,1,hypothetical protein
CDS,yaeT,GI:378698203,262375,264789,2416,1,outer membrane protein
CDS,ompH,GI:378698204,264912,265397,487,1,outer membrane protein OmpH
CDS,lpxD,GI:378698205,265401,266426,1027,1,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
CDS,fabZ,GI:378698206,266532,266987,457,1,(3R)-hydroxymyristoyl-ACP dehydratase
CDS,lpxA,GI:378698207,266991,267779,790,1,Acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase
CDS,lpxB,GI:378698208,267779,268927,1150,1,Lipid-A-disaccharide synthase
CDS,rnhB,GI:378698209,268924,269520,598,1,ribonuclease HII
CDS,dnaE,GI:378698210,269544,273026,3484,1,DNA polymerase III subunit alpha
CDS,accA,GI:378698211,273039,273998,961,1,acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
CDS,none,GI:378698212,274178,275941,1765,1,putative secreted chitinase
CDS,ldcC,GI:378698213,276017,278158,2143,1,lysine decarboxylase
CDS,none,GI:378698214,278214,278603,391,1,hypothetical protein
CDS,mesJ,GI:378698215,278747,279958,1213,1,cell cycle protein MesJ
CDS,rof,GI:378698216,280042,280296,256,-1,ROF protein
CDS,none,GI:378698217,280289,280507,220,-1,hypothetical protein
CDS,none,GI:378698218,280687,281232,547,1,hypothetical protein
CDS,yaeJ,GI:378698219,281229,281651,424,1,putative release factor
CDS,cutF,GI:378698220,281683,282384,703,1,copper homeostasis protein CutF precursor (lipoprotein nlpE)
CDS,proS,GI:378698221,282458,284176,1720,-1,prolyl-tRNA synthetase
CDS,none,GI:378698222,284287,284994,709,-1,hypothetical protein
CDS,rcsF,GI:378698223,284991,285395,406,-1,RcsF protein
CDS,yaeC,GI:378698224,285514,286329,817,-1,putative lipoprotein
CDS,yaeE,GI:378698225,286368,287021,655,-1,ABC transporter permease
CDS,abc,GI:378698226,287014,288045,1033,-1,putative ABC transporter ATP-binding protein
CDS,none,GI:378698227,288235,288801,568,1,hypothetical protein
rRNA,none,none,289180,290723,1545,1,16S ribosomal RNA
tRNA,none,none,290781,290854,75,1,tRNA-Ile
tRNA,none,none,290967,291039,74,1,tRNA-Ala
rRNA,none,none,291235,294327,3094,1,23S ribosomal RNA
rRNA,none,none,294510,294631,123,1,5S ribosomal RNA
tRNA,none,none,294819,294892,75,1,tRNA-Asp
CDS,yafB,GI:378698228,295060,295863,805,1,oxidoreductase
CDS,yafC,GI:378698229,295884,296798,916,-1,transcriptional regulator
CDS,none,GI:378698230,296903,298078,1177,1,putative drug efflux protein
CDS,none,GI:378698231,298231,299010,781,1,hypothetical protein
CDS,yafE,GI:378698232,299088,299858,772,1,putative methyltransferase
CDS,mltD,GI:378698233,299914,301281,1369,-1,membrane-bound lytic murein transglycosylase d
CDS,gloB,GI:378698234,301353,302108,757,-1,hydroxyacylglutathione hydrolase
CDS,none,GI:378698235,302143,302865,724,1,hypothetical protein
CDS,rnhA,GI:378698236,302862,303329,469,-1,ribonuclease H
CDS,dnaQ,GI:378698237,303393,304124,733,1,DNA polymerase III subunit epsilon
tRNA,none,none,304258,304331,75,1,tRNA-Asp
CDS,sciA,GI:378698238,304656,305711,1057,-1,hypothetical protein
CDS,sciB,GI:378698239,305722,306717,997,-1,hypothetical protein
CDS,sciC,GI:378698240,306714,308597,1885,-1,hypothetical protein
CDS,sciD,GI:378698241,308613,309107,496,-1,hypothetical protein
CDS,sciE,GI:378698242,309104,309928,826,-1,hypothetical protein
CDS,sciF,GI:378698243,309915,310817,904,-1,hypothetical protein
CDS,sciG,GI:378698244,311185,313824,2641,1,hypothetical protein
CDS,sciH,GI:378698245,313924,314466,544,1,hypothetical protein
CDS,sciI,GI:378698246,314490,315983,1495,1,hypothetical protein
CDS,sciJ,GI:378698247,316169,316615,448,1,hypothetical protein
CDS,sciK,GI:378698248,316869,317354,487,1,hypothetical protein
CDS,none,GI:378698249,317659,318144,487,1,hypothetical protein
CDS,none,GI:378698250,318129,318512,385,1,hypothetical protein
CDS,sciK1,GI:378698251,318655,319140,487,1,hypothetical protein
CDS,sciN,GI:378698252,319207,319743,538,1,lipoprotein
CDS,sciO,GI:378698253,319747,321090,1345,1,hypothetical protein
CDS,sciP,GI:378698254,321087,322391,1306,1,hypothetical protein
CDS,sciQ,GI:378698255,322396,323169,775,1,"putative membrane protein, virulence associated protein"
CDS,sciR,GI:378698256,323372,323803,433,1,hypothetical protein
CDS,sciS,GI:378698257,323837,327706,3871,1,"IcmF-related integral membrane ATP-binding protein, virulence associated protein"
CDS,sciT,GI:378698258,327706,328494,790,1,hypothetical protein
CDS,sciU,GI:378698259,328491,328907,418,1,secreted protein
CDS,sciV,GI:378698260,328931,329452,523,1,hypothetical protein
CDS,vrgS,GI:378698261,329849,332038,2191,1,Type VI secretion protein
CDS,sciW,GI:378698262,332062,332508,448,1,hypothetical protein
CDS,none,GI:378698263,332521,336123,3604,1,Rhs family protein
CDS,none,GI:378698264,336117,336380,265,1,hypothetical protein
CDS,sciX,GI:378698265,337307,337753,448,1,hypothetical protein
CDS,none,GI:378698266,339522,339830,310,1,hypothetical protein
CDS,safA,GI:378698267,341687,342199,514,1,atypical fimbria lipoprotein
CDS,safB,GI:378698268,342307,343020,715,1,atypical fimbria chaperone
CDS,safC,GI:378698269,343044,345554,2512,1,atypical fimbria outer membrane usher
CDS,safD,GI:378698270,345576,346046,472,1,fimbrial structural subunit
CDS,none,GI:378698271,346452,347273,823,1,hypothetical protein
CDS,sinR,GI:378698272,348088,349035,949,1,LysR family transcriptional regulator
CDS,none,GI:378698273,349152,349367,217,1,hypothetical protein
CDS,pagN,GI:378698274,349371,350090,721,-1,outer membrane adhesin
CDS,sciZ,GI:378698275,350421,350828,409,-1,secreted protein
CDS,none,GI:378698276,351199,351966,769,-1,hydrolase
CDS,none,GI:378698277,352075,354519,2446,-1,acyl-CoA dehydrogenase
CDS,gmhA,GI:378698278,354759,355337,580,1,phosphoheptose isomerase
CDS,none,GI:378698279,355550,356317,769,1,hypothetical protein
CDS,yafK,GI:378698280,356288,357028,742,-1,hypothetical protein
CDS,dbh,GI:378698281,357278,358333,1057,1,DNA polymerase IV
CDS,prfH,GI:378698282,359681,360295,616,1,putative peptide chain release factor
CDS,pepD,GI:378698283,360451,361908,1459,-1,aminoacyl-histidine dipeptidase
CDS,gpt,GI:378698284,362157,362615,460,1,xanthine-guanine phosphoribosyltransferase
CDS,none,GI:378698285,362704,363948,1246,1,hypothetical protein
CDS,crl,GI:378698286,364006,364407,403,1,curlin genes transcriptional activator
CDS,phoE,GI:378698287,364458,365510,1054,-1,outer membrane pore protein E
CDS,proB,GI:378698288,365793,366896,1105,1,glutamate 5-kinase
CDS,proA,GI:378698289,366908,368158,1252,1,gamma-glutamyl phosphate reductase
tRNA,none,none,368274,368346,74,1,tRNA-Thr
CDS,none,GI:378698290,368675,369475,802,-1,putative IS3 transposase
CDS,none,GI:378698291,370217,370540,325,1,hypothetical protein
CDS,none,GI:378698292,370836,372119,1285,1,putative permease/MSF transporter
CDS,leuC2,GI:378698293,372251,373465,1216,1,3-isopropylmalate dehydratase large subunit
CDS,leuD2,GI:378698294,373674,374300,628,1,3-isopropylmalate dehydratase small subunit
CDS,none,GI:378698295,374315,375193,880,1,putative fumarylacetoacetate (faa) hydrolase
CDS,none,GI:378698296,375193,376107,916,1,putative hydrolase or acyltransferase
CDS,none,GI:378698297,376141,377106,967,1,putative lysR family transcriptional regulator
CDS,none,GI:378698298,377051,377323,274,-1,hypothetical protein
CDS,none,GI:378698299,378014,378412,400,1,secreted protein
CDS,stbE,GI:378698300,378459,379217,760,-1,fimbrial chaperone protein
CDS,stbD,GI:378698301,379183,380508,1327,-1,putative fimbrial protein
CDS,stbC,GI:378698302,380513,383080,2569,-1,outer membrane fimbrial usher protein
CDS,stbB,GI:378698303,383064,383825,763,-1,fimbrial chaperone protein
CDS,stbA,GI:378698304,383887,384423,538,-1,fimbrial protein
CDS,none,GI:378698305,385057,385821,766,1,transmembrane regulator
CDS,none,GI:378698306,385794,386294,502,1,hypothetical protein
CDS,none,GI:378698307,386594,388168,1576,1,putative rtn protein
CDS,none,GI:378698308,388268,389011,745,1,transmembrane regulator
CDS,none,GI:378698309,388984,389472,490,1,hypothetical protein
CDS,none,GI:378698310,389874,390398,526,1,outer membrane protein
CDS,none,GI:378698311,390542,391183,643,1,transcriptional regulator
CDS,none,GI:378698312,391194,391418,226,1,secreted protein
CDS,none,GI:378698313,391476,391835,361,1,lipoprotein
CDS,none,GI:378698314,391905,393362,1459,-1,putative outer membrane efflux lipoprotein
CDS,none,GI:378698315,393379,396546,3169,-1,putative cation efflux protein
CDS,none,GI:378698316,396543,397553,1012,-1,putative cation efflux pump
CDS,none,GI:378698317,398046,400334,2290,1,putative cation transport atpase
CDS,none,GI:378698318,400346,400810,466,1,transcriptional regulator
CDS,none,GI:378698319,400888,401082,196,1,putative metal-binding transport protein
CDS,none,GI:378698320,401375,402628,1255,1,putative metabolite transport protein
CDS,mod,GI:378698321,402817,404775,1960,1,type III restriction-modification system enzyme (StyLTI) modification methylase
CDS,res,GI:378698322,404782,407757,2977,1,type III restriction-modification system enzyme (StyLTI)
CDS,none,GI:378698323,408034,408135,103,1,hypothetical protein
CDS,none,GI:378698324,408252,409655,1405,1,terminal oxidase subunit I
CDS,none,GI:378698325,409652,410662,1012,1,terminal oxidase subunit II
CDS,none,GI:378698326,410679,410903,226,1,hypothetical protein
CDS,none,GI:378698327,410999,412003,1006,1,AraC family transcriptional regulator
CDS,foxA,GI:378698328,412149,414257,2110,1,ferrioxamine B receptor
CDS,none,GI:378698329,414298,414930,634,-1,RhtC-like transporter
CDS,none,GI:378698330,415162,415437,277,1,secreted protein
CDS,prpR,GI:378698331,415573,417198,1627,-1,propionate catabolism operon regulatory protein
CDS,prpB,GI:378698332,417463,418350,889,1,carboxyvinyl-carboxyphosphonate phosphorylmutase
CDS,prpC,GI:378698333,418473,419642,1171,1,methylcitrate synthase
CDS,prpD,GI:378698334,419682,421133,1453,1,PrpD protein
CDS,prpE,GI:378698335,421174,423060,1888,1,PrpE protein
CDS,hemB,GI:378698336,423164,424138,976,-1,delta-aminolevulinic acid dehydratase
CDS,none,GI:378698337,424651,427587,2938,1,autotransporter/virulence factor
CDS,none,GI:378698338,427673,428296,625,1,hypothetical protein
CDS,ampH,GI:378698339,428341,429471,1132,-1,penicillin-binding protein AmpH
CDS,sbmA,GI:378698340,429947,431065,1120,1,ABC-transporter inner membrane protein SbmA
