id,gene,gene_function,sub_class,class,source_organism,1st_blast_match,1st_blast_cov,2nd_blast_match,2nd_blast_cov,3rd_blast_match,3rd_blast_cov
Bfatt-g0025_farB,farB,fatty acid resistance MFS efflux transporter permease subunit FarB,Fatty acid resistance,Biocides,Neisseria meningitidis,Bfatt-g0024_farB,100,NA,NA,NA,NA
Bfluo-g0026_crcB,crcB,fluoride efflux transporter CrcB,Fluoride resistance,Biocides,Klebsiella pneumoniae,NA,NA,NA,NA,NA,NA
Bfusi-g0027_fusB,fusB,fusidic acid resistance EF-G-binding protein FusB,Fusidic acid resistance,Biocides,Staphylococcus epidermidis,NA,NA,NA,NA,NA,NA
Bfusi-g0028_fusC,fusC,fusidic acid resistance EF-G-binding protein FusC,Fusidic acid resistance,Biocides,Staphylococcus hominis subsp. hominis,NA,NA,NA,NA,NA,NA
Bfusi-g0029_fusF,fusF,fusidic acid resistance EF-G-binding protein FusF,Fusidic acid resistance,Biocides,Staphylococcus ureilyticus,NA,NA,NA,NA,NA,NA
Bfusi-g0030_fusH,fusH,fusidic acid esterase FusH,Fusidic acid resistance,Biocides,Streptomyces lividans,NA,NA,NA,NA,NA,NA
Bmult-g0031_abuO,abuO,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Shigella flexneri,Bmult-g0032_ebrA,95,Bmult-g0033_ebrB,97.284,NA,NA
Bmult-g0032_ebrA,ebrA,Multi-biocide SMR efflux pump,Multi-biocide resistance,Biocides,Shigella flexneri,Bmult-g0033_ebrB,97,Bmult-g0031_abuO,97.087,NA,NA
Bmult-g0033_ebrB,ebrB,Multi-biocide SMR efflux pump,Multi-biocide resistance,Biocides,Shigella sonnei,Bmult-g0032_ebrA,100,Bmult-g0031_abuO,97.284,NA,NA
Bmult-g0034_emhR,emhR,Multi-biocide RND efflux regulator,Multi-biocide resistance,Biocides,Acinetobacter baumannii,NA,NA,NA,NA,NA,NA
Bmult-g0035_emmdR,emmdR,Multi-biocide MATE efflux pump,Multi-biocide resistance,Biocides,Bacillus spizizenii ATCC 6633 = JCM 2499,NA,NA,NA,NA,NA,NA
Bmult-g0036_hasF,hasF,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Bacillus atrophaeus ATCC 9372,NA,NA,NA,NA,NA,NA
Bmult-g0037_hsmR,hsmR,Multi-biocide resistance protein,Multi-biocide resistance,Biocides,Pseudomonas protegens,NA,NA,NA,NA,NA,NA
Bmult-g0038_kexD,kexD,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Enterobacter cloacae,NA,NA,NA,NA,NA,NA
Bmult-g0039_ldE,ldE,Multi-biocide MFS efflux pump,Multi-biocide resistance,Biocides,Serratia marcescens,NA,NA,NA,NA,NA,NA
Bmult-g0040_mdeA,mdeA,Multi-biocide resistance protein,Multi-biocide resistance,Biocides,Halobacterium salinarum,NA,NA,NA,NA,NA,NA
Bmult-g0041_mexV,mexV,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,NA,NA,NA,NA,NA,NA
Bmult-g0042_mexW,mexW,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Listeria monocytogenes,NA,NA,NA,NA,NA,NA
Bmult-g0043_oprJ,oprJ,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Pseudomonas putida,NA,NA,NA,NA,NA,NA
Bmult-g0044_oprJ,oprJ,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Pseudomonas aeruginosa,NA,NA,NA,NA,NA,NA
Bmult-g0045_oprM,oprM,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Pseudomonas aeruginosa,MUdru-g1017_mtrC,17,NA,NA,NA,NA
Bmult-g0046_oprM,oprM,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Pseudomonas aeruginosa,Bmult-g0047_oxyrkP,100,NA,NA,NA,NA
Bmult-g0047_oxyrkP,oxyrkP,Multi-biocide resistance regulator,Multi-biocide resistance,Biocides,Pseudomonas aeruginosa,Bmult-g0046_oprM,100,NA,NA,NA,NA
Bmult-g0048_pcM,pcM,Multi-biocide resistance regulator (partial gene),Multi-biocide resistance,Biocides,Pseudomonas aeruginosa,Bmult-g0049_pdrM,100,NA,NA,NA,NA
Bmult-g0049_pdrM,pdrM,Multi-biocide MATE efflux pump,Multi-biocide resistance,Biocides,Pseudomonas aeruginosa,Bmult-g0048_pcM,61,Bpoly-g0139_ttgD,78.068,MUman-g1129_sitB,76.89
Bmult-g0050_smrA,smrA,Multi-biocide ABC efflux pump,Multi-biocide resistance,Biocides,Klebsiella pneumoniae,NA,NA,NA,NA,NA,NA
Bmult-g0051_smvA,smvA,Multi-biocide MFS efflux pump,Multi-biocide resistance,Biocides,Stenotrophomonas maltophilia,NA,NA,NA,NA,NA,NA
Bmult-g0052_soxrB,soxrB,Multi-biocide resistance regulator,Multi-biocide resistance,Biocides,Streptococcus pneumoniae,NA,NA,NA,NA,NA,NA
Bmult-g0053_soxrB,soxrB,Multi-biocide resistance regulator (partial gene),Multi-biocide resistance,Biocides,Stenotrophomonas maltophilia,NA,NA,NA,NA,NA,NA
Bmult-g0054_ssmE,ssmE,Multi-biocide SMR efflux pump,Multi-biocide resistance,Biocides,Salmonella enterica,NA,NA,NA,NA,NA,NA
Bmult-g0055_sugE,sugE,Multi-biocide SMR efflux pump,Multi-biocide resistance,Biocides,Escherichia coli,Bmult-g0056_sugE,100,NA,NA,NA,NA
Bmult-g0056_sugE,sugE,Multi-biocide SMR efflux pump,Multi-biocide resistance,Biocides,Escherichia coli,Bmult-g0055_sugE,100,NA,NA,NA,NA
Bmult-g0057_sugE,sugE,Multi-biocide SMR efflux pump,Multi-biocide resistance,Biocides,Serratia marcescens,NA,NA,NA,NA,NA,NA
Bmult-g0058_sugE,sugE,Multi-biocide SMR efflux pump,Multi-biocide resistance,Biocides,Escherichia coli,Bmult-g0060_tolC,100,Bmult-g0059_tolC,100,Bmult-g0061_tolC,99.371
Bmult-g0059_tolC,tolC,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Escherichia coli,Bmult-g0058_sugE,100,Bmult-g0061_tolC,99.371,Bmult-g0060_tolC,99.371
Bmult-g0060_tolC,tolC,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Escherichia coli K-12,Bmult-g0058_sugE,87,Bmult-g0061_tolC,100,Bmult-g0059_tolC,99.371
Bmult-g0061_tolC,tolC,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Escherichia coli K-12,Bmult-g0060_tolC,100,Bmult-g0059_tolC,99.371,Bmult-g0058_sugE,99.371
Bmult-g0062_tolC,tolC,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Escherichia coli,Bmult-g0066_ttgF,100,Bmult-g0063_tolC,100,Bmult-g0065_ttgF,97.844
Bmult-g0063_tolC,tolC,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Escherichia coli,Bmult-g0062_tolC,100,Bmult-g0066_ttgF,99.933,Bmult-g0065_ttgF,97.844
Bmult-g0064_tolCsm,tolCsm,Multi-biocide RND efflux pump (partial gene),Multi-biocide resistance,Biocides,Shigella sonnei,Bmult-g0066_ttgF,100,Bmult-g0062_tolC,100,Bmult-g0065_ttgF,100
Bmult-g0065_ttgF,ttgF,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Escherichia coli K-12,Bmult-g0063_tolC,100,Bmult-g0062_tolC,97.844,Bmult-g0066_ttgF,97.776
Bmult-g0066_ttgF,ttgF,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Escherichia coli K-12,Bmult-g0062_tolC,100,Bmult-g0063_tolC,99.933,Bmult-g0065_ttgF,97.776
Bmult-g0067_ttgW,ttgW,Multi-biocide RND efflux regulator,Multi-biocide resistance,Biocides,Stenotrophomonas maltophilia,NA,NA,NA,NA,NA,NA
Bmult-g0068_vcaM,vcaM,Multi-biocide ABC efflux pump,Multi-biocide resistance,Biocides,Pseudomonas sp. 13159349,Bmult-g0069_vcrM,86,NA,NA,NA,NA
Bmult-g0069_vcrM,vcrM,Multi-biocide MATE efflux pump,Multi-biocide resistance,Biocides,Pseudomonas sp. 13159349,Bmult-g0068_vcaM,100,NA,NA,NA,NA
Bmult-g0070_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Pseudomonas putida DOT-T1E,NA,NA,NA,NA,NA,NA
Bmult-g0071_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio cholerae C6706,NA,NA,NA,NA,NA,NA
Bmult-g0072_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio cholerae C6706,NA,NA,NA,NA,NA,NA
Bmult-g0073_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0085_vmeB,100,Bmult-g0074_vmeA,99.211,Bmult-g0075_vmeA,99.123
Bmult-g0074_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0085_vmeB,100,Bmult-g0083_vmeA,99.649,Bmult-g0080_vmeA,99.561
Bmult-g0075_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0077_vmeA,100,Bmult-g0074_vmeA,99.211,Bmult-g0085_vmeB,99.123
Bmult-g0076_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0077_vmeA,100,Bmult-g0079_vmeA,99.035,Bmult-g0082_vmeA,98.947
Bmult-g0077_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0082_vmeA,100,Bmult-g0084_vmeB,99.561,Bmult-g0076_vmeA,99.298
Bmult-g0078_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0085_vmeB,100,Bmult-g0080_vmeA,98.86,Bmult-g0083_vmeA,98.772
Bmult-g0079_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0086_vmeC,100,Bmult-g0085_vmeB,99.474,Bmult-g0083_vmeA,99.386
Bmult-g0080_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0074_vmeA,100,Bmult-g0085_vmeB,99.474,Bmult-g0082_vmeA,99.298
Bmult-g0081_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0079_vmeA,100,Bmult-g0085_vmeB,99.035,Bmult-g0086_vmeC,98.947
Bmult-g0082_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0084_vmeB,100,Bmult-g0077_vmeA,99.649,Bmult-g0080_vmeA,99.298
Bmult-g0083_vmeA,vmeA,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0085_vmeB,100,Bmult-g0074_vmeA,99.649,Bmult-g0079_vmeA,99.386
Bmult-g0084_vmeB,vmeB,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0082_vmeA,100,Bmult-g0077_vmeA,99.561,Bmult-g0080_vmeA,99.211
Bmult-g0085_vmeB,vmeB,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0083_vmeA,100,Bmult-g0074_vmeA,99.737,Bmult-g0080_vmeA,99.474
Bmult-g0086_vmeC,vmeC,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0079_vmeA,100,Bmult-g0085_vmeB,99.035,Bmult-g0080_vmeA,99.035
Bmult-g0087_vmeD,vmeD,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0088_vmeE,100,MUdru-g0885_adeK,73.874,MUdru-g0885_adeK,100
Bmult-g0088_vmeE,vmeE,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,Bmult-g0087_vmeD,100,MUdru-g0885_adeK,74.081,NA,NA
Bmult-g0089_vmeF,vmeF,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0090_vmeG,vmeG,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,MUzin-g1139_baeS,99,NA,NA,NA,NA
Bmult-g0091_vmeH,vmeH,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0092_vmeI,vmeI,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0093_vmeJ,vmeJ,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0094_vmeK,vmeK,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0095_vmeP,vmeP,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0096_vmeQ,vmeQ,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0097_vmeT,vmeT,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0098_vmeU,vmeU,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0099_vmeV,vmeV,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,MUdru-g1014_mexZ,1,MUdru-g1013_mexY,100,NA,NA
Bmult-g0100_vmeY,vmeY,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0101_vmeZ,vmeZ,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0102_vmrA,vmrA,Multi-biocide MATE efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0103_vpoC,vpoC,Multi-biocide RND efflux pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0104_ydeO,ydeO,Multi-biocide resistance regulator,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bmult-g0105_yjcG,yjcG,Multi-biocide resistance protein,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bpara-g0106_nmpC,nmpC,Paraquat resistance protein,Paraquat resistance,Biocides,Vibrio parahaemolyticus,NA,NA,NA,NA,NA,NA
Bpara-g0107_nmpC,nmpC,Paraquat resistance protein,Paraquat resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Bpara-g0108_yddG,yddG,Paraquat efflux pump,Paraquat resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Bpero-g0109_ibpA,ibpA,Peroxide resistance stress protein,Peroxide resistance,Biocides,Salmonella enterica,NA,NA,NA,NA,NA,NA
Bpero-g0110_ibpB,ibpB,Peroxide resistance stress protein,Peroxide resistance,Biocides,Salmonella enterica subsp. enterica serovar Typhimurium,NA,NA,NA,NA,NA,NA
Bpero-g0111_katP,katP,catalase/peroxidase KatP,Peroxide resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Bpero-g0112_perR,perR,peroxide resistance regulator,Peroxide resistance,Biocides,Shigella sonnei,Bpero-g0113_sodA,100,NA,NA,NA,NA
Bpero-g0113_sodA,sodA,peroxide resistance protein,Peroxide resistance,Biocides,Shigella sonnei,Bpero-g0112_perR,99,NA,NA,NA,NA
Bpero-g0114_sodA,sodA,peroxide resistance protein,Peroxide resistance,Biocides,Escherichia coli O157:H7,NA,NA,NA,NA,NA,NA
Bpero-g0115_sodA,sodA,peroxide resistance protein,Peroxide resistance,Biocides,Staphylococcus aureus,NA,NA,NA,NA,NA,NA
Bpero-g0116_sodA,sodA,peroxide resistance protein,Peroxide resistance,Biocides,Escherichia coli,Bpero-g0118_sodB,100,NA,NA,NA,NA
Bpero-g0117_sodB,sodB,peroxide resistance protein,Peroxide resistance,Biocides,Pseudomonas aeruginosa,NA,NA,NA,NA,NA,NA
Bpero-g0118_sodB,sodB,peroxide resistance protein,Peroxide resistance,Biocides,Escherichia coli,Bpero-g0116_sodA,100,NA,NA,NA,NA
Bpero-g0119_ydeI,ydeI,peroxide resistance protein,Peroxide resistance,Biocides,Pseudomonas aeruginosa,Bphen-g0121_fabI,100,NA,NA,NA,NA
Bphen-g0120_fabG,fabG,Triclosan-resistant mutation,Phenolic compound resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Bphen-g0121_fabI,fabI,Phenolic resistance protein,Phenolic compound resistance,Biocides,Pseudomonas aeruginosa,Bpero-g0119_ydeI,100,NA,NA,NA,NA
Bphen-g0122_fabI,fabI,Phenolic resistance protein,Phenolic compound resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Bphen-g0123_fabK,fabK,Phenolic resistance protein,Phenolic compound resistance,Biocides,Shigella sonnei,NA,NA,NA,NA,NA,NA
Bphen-g0124_fabL,fabL,Phenolic resistance protein,Phenolic compound resistance,Biocides,Staphylococcus aureus,NA,NA,NA,NA,NA,NA
Bphen-g0125_fabV,fabV,Phenolic resistance protein,Phenolic compound resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Bphen-g0126_fabV,fabV,Phenolic resistance protein,Phenolic compound resistance,Biocides,Streptococcus pneumoniae,NA,NA,NA,NA,NA,NA
Bphen-g0127_triA,triA,Phenolic RND efflux pump,Phenolic compound resistance,Biocides,Bacillus subtilis,NA,NA,NA,NA,NA,NA
Bphen-g0128_triaP,triaP,Phenolic RND efflux pump,Phenolic compound resistance,Biocides,Vibrio cholerae C6706,NA,NA,NA,NA,NA,NA
Bphen-g0129_triB,triB,Phenolic RND efflux pump,Phenolic compound resistance,Biocides,Vibrio cholerae O1 biovar El Tor,NA,NA,NA,NA,NA,NA
Bphen-g0130_tribP,tribP,Phenolic RND efflux pump,Phenolic compound resistance,Biocides,Pseudomonas aeruginosa,NA,NA,NA,NA,NA,NA
Bphen-g0131_triC,triC,Phenolic RND efflux pump,Phenolic compound resistance,Biocides,Yersinia pseudotuberculosis IP 32953,NA,NA,NA,NA,NA,NA
Bphen-g0132_tricP,tricP,Phenolic RND efflux pump,Phenolic compound resistance,Biocides,Pseudomonas aeruginosa,NA,NA,NA,NA,NA,NA
Bpoly-g0133_bltD,bltD,Spermine/spermidine acetyltransferase,Polyamine resistance,Biocides,Yersinia pseudotuberculosis IP 32953,NA,NA,NA,NA,NA,NA
Bpoly-g0134_bltD,bltD,Spermine/spermidine acetyltransferase,Polyamine resistance,Biocides,Pseudomonas aeruginosa,NA,NA,NA,NA,NA,NA
Bpoly-g0135_emhB,emhB,efflux RND transporter permease subunit EmhB,Polycyclic aromatic hydrocarbon resistance,Biocides,Yersinia pseudotuberculosis IP 32953,NA,NA,NA,NA,NA,NA
Bpoly-g0136_emhC,emhC,Efflux RND transporter outer membrane subunit EmhC,Polycyclic aromatic hydrocarbon resistance,Biocides,Bacillus subtilis subsp. subtilis str. 168,Bpoly-g0137_emhC,100,NA,NA,NA,NA
Bpoly-g0137_emhC,emhC,Efflux RND transporter outer membrane subunit EmhC,Polycyclic aromatic hydrocarbon resistance,Biocides,Bacillus subtilis subsp. subtilis str. 168,Bpoly-g0136_emhC,100,NA,NA,NA,NA
Bpoly-g0138_srpB,srpB,solvent efflux RND transporter permease subunit SrpB,Polycyclic aromatic hydrocarbon resistance,Biocides,Pseudomonas fluorescens,MUman-g1128_sitB,98,MUdru-g1007_mexR,80.347,MUdru-g1011_mexT,72.993
Bpoly-g0139_ttgD,ttgD,toluene efflux RND transporter periplasmic adaptor subunit TtgD,Polycyclic aromatic hydrocarbon resistance,Biocides,Pseudomonas protegens,Bqacs-g0140_bcrB,100,MUman-g1129_sitB,81.14,Bmult-g0049_pdrM,78.068
Bqacs-g0140_bcrB,bcrB,quaternary ammonium compound efflux SMR transporter BcrB,QACs and biocides resistance,Biocides,Pseudomonas fluorescens,Bpoly-g0139_ttgD,100,MUman-g1129_sitB,77.438,Bmult-g0049_pdrM,75.431
Bqacs-g0141_emeA,emeA,QAC efflux pump,QACs and biocides resistance,Biocides,Pseudomonas putida,NA,NA,NA,NA,NA,NA
Bqacs-g0142_galE,galE,QAC-resistant protein UDP glucose 4 epimerase,QACs and biocides resistance,Biocides,Pseudomonas sp. 13159349,MUdru-g1112_vcmA,100,MUman-g1130_sitC,100,NA,NA
Bqacs-g0143_qacA,qacA,quaternary ammonium compound efflux MFS transporter QacA,QACs and biocides resistance,Biocides,Staphylococcus aureus,Bqacs-g0148_qacB,100,MUdru-g1103_ttgB,99.87,Bqacs-g0144_qacA,99.741
Bqacs-g0144_qacA,qacA,quaternary ammonium compound efflux MFS transporter QacA,QACs and biocides resistance,Biocides,Staphylococcus epidermidis,Bqacs-g0148_qacB,100,Bqacs-g0143_qacA,99.741,MUdru-g1103_ttgB,99.741
Bqacs-g0145_qacB,qacB,quaternary ammonium compound efflux MFS transporter QacB,QACs and biocides resistance,Biocides,Staphylococcus aureus,Bqacs-g0149_qacB,100,Bqacs-g0146_qacB,99.741,Bqacs-g0147_qacB,99.676
Bqacs-g0146_qacB,qacB,quaternary ammonium compound efflux MFS transporter QacB,QACs and biocides resistance,Biocides,Staphylococcus aureus,Bqacs-g0147_qacB,100,Bqacs-g0149_qacB,99.871,Bqacs-g0145_qacB,99.741
Bqacs-g0147_qacB,qacB,quaternary ammonium compound efflux MFS transporter QacB,QACs and biocides resistance,Biocides,Staphylococcus aureus,Bqacs-g0149_qacB,100,Bqacs-g0146_qacB,99.935,Bqacs-g0145_qacB,99.676
Bqacs-g0148_qacB,qacB,quaternary ammonium compound efflux MFS transporter QacB,QACs and biocides resistance,Biocides,Staphylococcus hominis,Bqacs-g0143_qacA,100,MUdru-g1103_ttgB,99.935,Bqacs-g0144_qacA,99.806
Bqacs-g0149_qacB,qacB,quaternary ammonium compound efflux MFS transporter QacB,QACs and biocides resistance,Biocides,Staphylococcus aureus,Bqacs-g0147_qacB,100,Bqacs-g0146_qacB,99.871,Bqacs-g0145_qacB,99.741
Bqacs-g0150_qacC,qacC,quaternary ammonium compound efflux SMR transporter QacC,QACs and biocides resistance,Biocides,Staphylococcus saprophyticus,MUdru-g1104_ttgC,100,NA,NA,NA,NA
Bqacs-g0151_qacC,qacC,quaternary ammonium compound efflux SMR transporter QacC,QACs and biocides resistance,Biocides,Streptococcus oralis,NA,NA,NA,NA,NA,NA
Bqacs-g0152_qacEdelta1,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,QACs and biocides resistance,Biocides,Escherichia coli,Bqacs-g0154_qacEdelta1,100,Bqacs-g0153_qacEdelta1,99.713,MUdru-g1106_ttgG,100
